latitudeAirport,longitudeAirport,nameAirport,nameCountry
32.55,-94.38333,Harrison County,United States
15.291111,38.91028,Yohannes IV,Eritrea
33.433334,-86.1,Talladega,United States
10.047222,34.536667,Asosa,Ethiopia
-23.80139,133.90338,Alice Springs,Australia
39.466667,-117.166664,Austin,United States
38.7742,35.490707,Erkilet International Airport,Turkey
46.15972,-123.88,Astoria,United States
-25.241795,-57.513794,Silvio Pettirossi,Paraguay
-2.633333,37.25,Amboseli,Kenya
23.968021,32.824818,Aswan,Egypt
46.55,-90.916664,Ashland,United States
46.033333,-99.36667,Ashley,United States
-5.866667,150.36667,Asirim,Papua New Guinea
-9.347222,-77.6,Anta,Peru
17.716667,34.016666,Atbara,Sudan
24.62861,-75.67139,Arthur's Town,Bahamas
-8.866667,161.03334,Atoifi,Solomon Islands
34.233334,-95.61667,Antlers,United States
-1.083333,-78.7,Chachoan,Ecuador
33.9,72.25,Attock,Pakistan
37.93635,23.946486,"Athens International Airport ""Eleftherios Venizelos""",Greece
-30.4,-56.50833,Artigas,Uruguay
-19.85,47.016666,Antsirabe,Madagascar
70.5,-157.33333,Atqasuk,United States
33.640068,-84.44403,Hartsfield-jackson Atlanta International,United States
-3.2,-52.216667,Altamira,Brazil
-3.666667,152.46666,Namatanai,Papua New Guinea
39.333332,-82.1,Ohio University,United States
-3.166667,142.28334,Airstrip,Papua New Guinea
31.706741,74.8073,Raja Sansi International Airport,India
20.499443,-13.046389,Mouakchott,Mauritania
32.84833,-104.46694,Artesia,United States
60.866943,-162.2675,Atmautluak,United States
13.242222,18.3075,Ati,
44.26011,-88.50994,Outagamie County,United States
51.88333,68.4,Atbasar,Kazakhstan
44.90889,-97.15417,Watertown,United States
27.033333,31,Assiut,Egypt
12.502222,-70.013885,Reina Beatrix,Aruba
-5.766667,-63.35,Itauba,Brazil
7.071667,-70.7425,Arauca,Colombia
-18.506945,139.88167,Augustus Downs,Australia
28.9,33.183334,Abu Rudeis,Egypt
47.85,3.5,Auxerre Branches,France
44.318054,-69.79667,Augusta,United States
24.426912,54.645973,Abu Dhabi International,United Arab Emirates
-1.458333,143.075,Aua Island,Papua New Guinea
-4.25,142.85,Ambunti,Papua New Guinea
62.689167,-164.61084,Alakanuk,United States
8.133333,171.16667,Aur Island,Marshall Islands
43.666668,-92.98333,Austin,United States
38.9,-121.066666,Auburn,United States
32.63333,-85.5,Auburn-Opelika,United States
-9.983333,149.58333,Agaun,Papua New Guinea
-9.769324,-139.00978,Atuona,French Polynesia
44.8975,2.418056,Aurillac,France
30.202545,-97.66706,Austin-bergstrom International,United States
-8.216667,125.583336,Atauro,Indonesia
-13.166667,142.25,Aurukun Mission,Australia
-5.716667,148.43333,Aumo,Papua New Guinea
44.923332,-89.623055,Municipal,United States
-7.2,-48.2,Araguaina,Brazil
-20.333332,169.66667,Aneityum,Vanuatu
41.75,-88.316666,Municipal Airport,United States
26.257221,105.87278,An Shun/Huang Guo Shu,China
46.033333,12.6,Aviano,Italy
-15.65,130.01666,Auvergne,Australia
22.025,-78.79139,Maximo Gomez,Cuba
46.266666,102.78333,Arvaikheer,Mongolia
35.43508,-82.537315,Asheville Regional Airport,United States
43.9,4.9,Avignon-Caumont,France
27.6,-81.51667,Municipal,United States
41.336697,-75.730644,Wilkes-Barre/Scranton International Airport,United States
-9.833333,160.38333,Avu Avu,Solomon Islands
-38.02637,144.47308,Avalon,Australia
32.416668,-111.21667,Avra Valley,United States
33.341667,-118.31528,Avalon Bay,United States
7.061111,38.4875,Awassa,Ethiopia
-8.016667,142.75,Awaba,Papua New Guinea
-19.25,169.5,Aniwa,Vanuatu
-0.75,9.45,Alowe,Gabon
19.283333,166.63333,Wake Island,United States Minor Outlying Islands
35.13333,-90.183334,Municipal,United States
-26.25,138.66667,Alton Downs,Australia
-20.5,137.75,Austral Downs,Australia
31.34292,48.74668,Ahwaz,Iran
18.216667,-63.066666,Wallblake,Anguilla
44.2525,-75.90139,Alexandria Bay,United States
-22.958055,145.2425,Aramac,Australia
40.856785,25.944893,Dimokritos,Greece
-26.883333,-52.38333,Xanxere,Brazil
43.066666,-94.23333,Algona,United States
13.866667,46.3,Ataq,Yemen
-19.083332,136.66667,Alexandria,Australia
4.452869,-75.76804,El Eden,Colombia
45.86722,-95.394165,Alexandria,United States
22.45,-73.96667,Springpoint Airport,Bahamas
-15.25,-146.75,Arutua,French Polynesia
34.696667,-99.33806,Municipal,United States
39.61177,140.22015,Akita,Japan
14.120833,38.716667,Axum,Ethiopia
40.566666,-84.2,Neil Armstrong,United States
36.416668,-105.28333,Angel Fire,United States
8.316667,-75.15,Ayapel,Colombia
8.6,-73.61667,Ayacucho,Colombia
-19.3,135.95,Alroy Downs,Australia
1.533333,-73.933334,Yaguara,Colombia
-0.333333,-72.333336,Yari,Colombia
50.316666,66.96667,Arkalyk,Kazakhstan
-18.033333,135.53334,Anthony Lagoon,Australia
36.1,114.35,Anyang,China
