latitudeAirport,longitudeAirport,nameAirport,nameCountry,geometry
-11.621622,-50.314326,unkown,unkown,POINT (-50.314326 -11.621622)
-11.621622,-49.394569,unkown,unkown,POINT (-49.394569 -11.621622)
-11.621622,-48.474813,unkown,unkown,POINT (-48.474813 -11.621622)
-11.621622,-47.555056,unkown,unkown,POINT (-47.555056 -11.621622)
-11.621622,-46.6353,unkown,unkown,POINT (-46.6353 -11.621622)
-11.621622,-45.715543,unkown,unkown,POINT (-45.715543 -11.621622)
-11.621622,-44.795786,unkown,unkown,POINT (-44.795786 -11.621622)
-11.621622,-43.87603,unkown,unkown,POINT (-43.87603 -11.621622)
-11.621622,-42.956273,unkown,unkown,POINT (-42.956273 -11.621622)
-11.621622,-42.036517,unkown,unkown,POINT (-42.036517 -11.621622)
-11.621622,-41.11676,unkown,unkown,POINT (-41.11676 -11.621622)
-11.621622,-40.197004,unkown,unkown,POINT (-40.197004 -11.621622)
-10.720721,-49.799499,unkown,unkown,POINT (-49.799499 -10.720721)
-10.720721,-48.882594,unkown,unkown,POINT (-48.882594 -10.720721)
-10.720721,-47.965689,unkown,unkown,POINT (-47.965689 -10.720721)
-10.720721,-47.048784,unkown,unkown,POINT (-47.048784 -10.720721)
-10.720721,-46.131879,unkown,unkown,POINT (-46.131879 -10.720721)
-10.720721,-45.214974,unkown,unkown,POINT (-45.214974 -10.720721)
-10.720721,-44.298069,unkown,unkown,POINT (-44.298069 -10.720721)
-10.720721,-43.381164,unkown,unkown,POINT (-43.381164 -10.720721)
-10.720721,-42.464259,unkown,unkown,POINT (-42.464259 -10.720721)
-10.720721,-41.547354,unkown,unkown,POINT (-41.547354 -10.720721)
-10.720721,-40.630449,unkown,unkown,POINT (-40.630449 -10.720721)
-10.720721,-39.713544,unkown,unkown,POINT (-39.713544 -10.720721)
-9.81982,-48.341334,unkown,unkown,POINT (-48.341334 -9.81982)
-9.81982,-47.427038,unkown,unkown,POINT (-47.427038 -9.81982)
-9.81982,-46.512741,unkown,unkown,POINT (-46.512741 -9.81982)
-9.81982,-45.598445,unkown,unkown,POINT (-45.598445 -9.81982)
-9.81982,-44.684149,unkown,unkown,POINT (-44.684149 -9.81982)
-9.81982,-43.769852,unkown,unkown,POINT (-43.769852 -9.81982)
-9.81982,-42.855556,unkown,unkown,POINT (-42.855556 -9.81982)
-9.81982,-41.94126,unkown,unkown,POINT (-41.94126 -9.81982)
-9.81982,-41.026964,unkown,unkown,POINT (-41.026964 -9.81982)
-9.81982,-40.112667,unkown,unkown,POINT (-40.112667 -9.81982)
-9.81982,-39.198371,unkown,unkown,POINT (-39.198371 -9.81982)
-9.81982,-38.284075,unkown,unkown,POINT (-38.284075 -9.81982)
-8.918919,-47.770547,unkown,unkown,POINT (-47.770547 -8.918919)
-8.918919,-46.85862,unkown,unkown,POINT (-46.85862 -8.918919)
-8.918919,-45.946692,unkown,unkown,POINT (-45.946692 -8.918919)
-8.918919,-45.034765,unkown,unkown,POINT (-45.034765 -8.918919)
-8.918919,-44.122838,unkown,unkown,POINT (-44.122838 -8.918919)
-8.918919,-43.210911,unkown,unkown,POINT (-43.210911 -8.918919)
-8.918919,-42.298983,unkown,unkown,POINT (-42.298983 -8.918919)
-8.918919,-41.387056,unkown,unkown,POINT (-41.387056 -8.918919)
-8.918919,-40.475129,unkown,unkown,POINT (-40.475129 -8.918919)
-8.918919,-39.563202,unkown,unkown,POINT (-39.563202 -8.918919)
-8.918919,-38.651274,unkown,unkown,POINT (-38.651274 -8.918919)
-8.918919,-37.739347,unkown,unkown,POINT (-37.739347 -8.918919)
-8.018018,-47.169956,unkown,unkown,POINT (-47.169956 -8.018018)
-8.018018,-46.260161,unkown,unkown,POINT (-46.260161 -8.018018)
-8.018018,-45.350366,unkown,unkown,POINT (-45.350366 -8.018018)
-8.018018,-44.440571,unkown,unkown,POINT (-44.440571 -8.018018)
-8.018018,-43.530776,unkown,unkown,POINT (-43.530776 -8.018018)
-8.018018,-42.620982,unkown,unkown,POINT (-42.620982 -8.018018)
-8.018018,-41.711187,unkown,unkown,POINT (-41.711187 -8.018018)
-8.018018,-40.801392,unkown,unkown,POINT (-40.801392 -8.018018)
-8.018018,-39.891597,unkown,unkown,POINT (-39.891597 -8.018018)
-8.018018,-38.981802,unkown,unkown,POINT (-38.981802 -8.018018)
-8.018018,-38.072007,unkown,unkown,POINT (-38.072007 -8.018018)
-8.018018,-37.162213,unkown,unkown,POINT (-37.162213 -8.018018)
-8.018018,-36.252418,unkown,unkown,POINT (-36.252418 -8.018018)
-7.117117,-45.631352,unkown,unkown,POINT (-45.631352 -7.117117)
-7.117117,-44.723456,unkown,unkown,POINT (-44.723456 -7.117117)
-7.117117,-43.815559,unkown,unkown,POINT (-43.815559 -7.117117)
-7.117117,-42.907663,unkown,unkown,POINT (-42.907663 -7.117117)
-7.117117,-41.999767,unkown,unkown,POINT (-41.999767 -7.117117)
-7.117117,-41.091871,unkown,unkown,POINT (-41.091871 -7.117117)
-7.117117,-40.183974,unkown,unkown,POINT (-40.183974 -7.117117)
-7.117117,-39.276078,unkown,unkown,POINT (-39.276078 -7.117117)
-7.117117,-38.368182,unkown,unkown,POINT (-38.368182 -7.117117)
-7.117117,-37.460285,unkown,unkown,POINT (-37.460285 -7.117117)
-7.117117,-36.552389,unkown,unkown,POINT (-36.552389 -7.117117)
-7.117117,-35.644493,unkown,unkown,POINT (-35.644493 -7.117117)
-6.216216,-44.971849,unkown,unkown,POINT (-44.971849 -6.216216)
-6.216216,-44.065619,unkown,unkown,POINT (-44.065619 -6.216216)
-6.216216,-43.15939,unkown,unkown,POINT (-43.15939 -6.216216)
