cluster,longitude,latitude,weather_risk,bird_risk,temperature_2m,precipitation,wind_speed,humidity,bird_obs_count
144,-16.34598200000001,28.488056,3.433333333333333,4.4567271526549295,19.2,0.0,26.630608,90.0,59
145,-16.645933685535745,28.031251073035584,2.8499999999999996,4.4567271526549295,23.0,0.0,52.872448,73.0,59
146,-72.73333,8.633333000000002,2.9279281613695933,0.0,32.2,0.0,12.440576,88.0,0
147,1.350000000000005,35.466667,2.6653532079571063,0.0,19.5,0.0,10.69112,95.0,0
148,-138.33333,-17.283333,3.0466666666666664,0.0,24.0,0.0,61.814112,64.0,0
149,-145.0264,-14.457748999999993,3.395333333333333,0.0,25.3,0.1,56.176975999999996,81.0,0
150,-1.3950583808506758,35.120992521503986,3.068161632475338,3.0232367392896897,20.5,0.0,16.328256,95.0,36
151,-71.76667,6.5000000000000036,5.210553862866651,0.09950166250831893,19.9,0.0,20.021552,88.0,1
152,8.133333000000002,33.916667999999994,1.2085169342324642,0.0,28.3,0.0,16.717024,44.0,0
153,-11.083333000000009,28.450000000000003,3.4899999999999998,2.0546639749666595,22.5,0.0,43.7364,85.0,23
154,10.217089999999983,36.847622000000015,3.6950187997694046,3.8121660819385914,22.9,0.0,11.857424,96.0,48
155,-76.73251865269674,5.593030001677262,4.424173341464164,0.0,26.5,0.5,11.274272,93.0,0
156,-76.18333400000002,6.333333000000002,3.0460564285584697,4.172517476260103,15.2,0.0,19.827168,99.0,54
157,-70.15376245744523,10.091673918418756,2.3313579613089455,3.0232367392896897,34.7,0.0,17.105792,77.0,36
158,-17.8125242463524,27.91604536715896,3.1066666666666665,0.8606881472877181,23.4,0.0,26.24184,84.0,9
159,-65.97167521494332,9.16024414202278,2.546445134849237,0.0,29.5,0.0,26.630608,88.0,0
160,-70.54997920763336,9.219135385633049,1.80289129530874,6.637835062932666,22.8,0.0,16.911407999999998,72.0,109
161,-73.25278,10.436666999999998,2.3539425791543414,6.17107114024888,27.7,0.0,16.52264,81.0,96
162,-80.00277374692938,8.287071847619856,3.8153333333333332,7.834643326839929,28.2,1.1,32.656512,87.0,153
163,-147.459071,-19.72973,3.1466666666666665,0.0,24.8,0.0,33.628432000000004,60.0,0
164,-146.501984,-19.729730000000004,3.0266666666666664,0.0,24.0,0.0,39.459952,64.0,0
165,-145.544898,-19.72973,3.4,0.0,24.9,0.0,40.82064,61.0,0
166,-144.587812,-19.729730000000014,3.36,0.0,24.9,0.0,29.1576,67.0,0
167,-148.58939399999997,-18.828829,3.0866666666666664,0.0,25.5,0.0,36.93296,66.0,0
168,-147.63755800000004,-18.828828999999995,3.213333333333333,0.0,25.4,0.0,40.626256,59.0,0
169,-146.68572099999997,-18.828828999999995,3.2266666666666666,0.0,24.8,0.0,37.127344,64.0,0
170,-145.733885,-18.828829000000002,3.1599999999999997,0.0,24.9,0.0,46.263392,63.0,0
171,-144.78204799999995,-18.828829000000002,3.343333333333333,0.0,25.0,0.0,40.626256,71.0,0
172,-143.830212,-18.828829,3.26,0.0,24.7,0.0,37.321728,64.0,0
173,-142.878375,-18.828829,3.1133333333333333,0.0,24.6,0.0,47.818464000000006,64.0,0
174,-141.92653799999997,-18.828828999999995,3.2199999999999998,0.0,24.5,0.0,52.094912,65.0,0
175,-148.753059,-17.927928,3.1466666666666665,0.0,25.8,0.0,41.986944,63.0,0
176,-147.80618199999998,-17.927927999999994,3.1866666666666665,0.0,25.7,0.0,42.375712,67.0,0
177,-146.859305,-17.927928,3.0466666666666664,0.0,25.9,0.0,39.265568,63.0,0
178,-145.912428,-17.927927999999987,2.9266666666666663,0.0,25.4,0.0,44.70832,64.0,0
179,-144.96555099999998,-17.92792799999999,3.2399999999999998,0.0,25.1,0.0,53.844367999999996,61.0,0
180,-144.01867399999998,-17.927927999999987,3.3866666666666667,0.0,25.0,0.0,41.986944,62.0,0
181,-143.07179699999998,-17.927927999999984,3.1533333333333333,0.0,24.4,0.0,45.097088,63.0,0
182,-142.12491999999997,-17.927927999999998,3.4,0.0,24.2,0.0,51.317375999999996,64.0,0
183,-140.231166,-17.92792800000001,3.0653333333333332,0.0,24.0,0.1,57.732048,65.0,0
184,-148.90737899999996,-17.027027,3.1733333333333333,0.0,26.3,0.0,50.734224000000005,70.0,0
185,-147.96517899999998,-17.027026999999986,3.333333333333333,0.0,26.0,0.0,46.069008,70.0,0
186,-147.02297800000002,-17.027027000000004,3.1599999999999997,0.0,25.9,0.0,52.872448,69.0,0
187,-146.080777,-17.02702699999999,3.326666666666666,0.0,25.5,0.0,49.56792,67.0,0
188,-144.19637599999996,-17.027027,3.26,0.0,25.2,0.0,48.401616,66.0,0
189,-143.254175,-17.027027000000004,3.1933333333333334,0.0,25.2,0.0,44.319552,64.0,0
190,-142.311975,-17.027026999999986,3.2666666666666666,0.0,25.5,0.0,45.874624000000004,64.0,0
191,-141.36977399999998,-17.027027,3.1466666666666665,0.0,25.0,0.0,54.621904,63.0,0
192,-140.42757299999997,-17.02702699999999,3.253333333333333,0.0,24.8,0.0,55.982592000000004,60.0,0
193,-139.48537300000004,-17.027027,3.26,0.0,24.7,0.0,55.982592000000004,64.0,0
194,-138.54317199999994,-17.027026999999986,3.293333333333333,0.0,24.2,0.0,61.036576,67.0,0
195,-137.600972,-17.027027000000004,3.3066666666666666,0.0,23.8,0.0,62.980416,65.0,0
196,-148.11476799999997,-16.126126,3.551333333333333,0.0,25.0,0.4,56.954512,81.0,0
197,-147.176968,-16.126126000000006,3.560666666666666,0.0,25.8,0.2,61.036576,81.0,0
198,-145.30136599999997,-16.12612600000001,3.053333333333333,0.0,25.4,0.0,55.593824000000005,72.0,0
199,-143.425764,-16.126126000000006,3.0466666666666664,0.0,25.8,0.0,52.289296,70.0,0
200,-140.612361,-16.126125999999992,3.1599999999999997,0.0,25.2,0.0,56.760128,66.0,0
201,-139.67455999999999,-16.126126000000006,3.1999999999999997,0.0,24.5,0.0,61.036576,65.0,0
202,-138.736759,-16.126126000000006,3.1133333333333333,0.0,24.6,0.0,61.619728,63.0,0
203,-137.798958,-16.126126000000006,3.392,0.0,24.5,0.1,64.729872,66.0,0
204,-136.86115700000002,-16.126126000000006,3.0733333333333333,0.0,24.1,0.0,59.092735999999995,63.0,0
205,-135.92335599999998,-16.126126,3.1599999999999997,0.0,24.3,0.0,59.675888,61.0,0
206,-134.985556,-16.126125999999992,3.1733333333333333,0.0,24.2,0.0,58.703967999999996,62.0,0
207,-147.321484,-15.225224999999996,3.6326666666666667,0.0,25.9,0.3,60.25904,83.0,0
208,-144.520469,-15.225225000000004,3.256666666666667,0.0,26.1,0.0,59.28712,75.0,0
209,-143.58679699999996,-15.225225,3.1399999999999997,0.0,25.7,0.0,61.425344,72.0,0
210,-142.653125,-15.225224999999996,3.2699999999999996,0.0,25.0,0.0,59.675888,73.0,0
211,-141.719453,-15.225225000000007,3.332,0.0,25.5,0.1,60.25904,76.0,0
212,-140.785781,-15.225224999999993,3.286666666666666,0.0,25.6,0.0,60.842192000000004,72.0,0
213,-139.852109,-15.225224999999993,3.353333333333333,0.0,25.2,0.0,62.397264,66.0,0
214,-138.918437,-15.225224999999993,3.34,0.0,24.5,0.0,67.64563199999999,67.0,0
215,-137.984765,-15.225224999999988,3.1933333333333334,0.0,24.6,0.0,65.896176,68.0,0
216,-137.051094,-15.225224999999996,3.213333333333333,0.0,24.6,0.0,63.1748,66.0,0
217,-136.117422,-15.225225,3.433333333333333,0.0,24.4,0.0,62.980416,72.0,0
218,-135.18375,-15.225224999999993,3.26,0.0,24.4,0.0,64.535488,67.0,0
219,-134.25007799999997,-15.225224999999991,3.2466666666666666,0.0,24.2,0.0,62.591648000000006,68.0,0
220,-133.316406,-15.225224999999993,3.213333333333333,0.0,24.3,0.0,58.703967999999996,66.0,0
221,-132.382734,-15.225224999999988,3.4,0.0,24.2,0.0,57.732048,66.0,0
222,-145.59710799999993,-14.324323999999995,3.440666666666666,0.0,25.4,0.2,54.233135999999995,81.0,0
223,-144.66729999999998,-14.324323999999988,3.6126666666666667,0.0,25.1,0.3,58.898352,83.0,0
224,-143.73749199999997,-14.324324000000004,3.6246666666666663,0.0,25.0,0.4,64.924256,81.0,0
225,-142.80768399999997,-14.324323999999999,3.515333333333333,0.0,25.5,0.1,65.313024,81.0,0
226,-140.94806799999998,-14.324324000000004,3.6533333333333333,0.0,25.1,0.5,66.47932800000001,84.0,0
227,-140.01826000000003,-14.324324000000004,3.581333333333333,0.0,25.5,0.4,65.11864,80.0,0
228,-139.08845199999996,-14.324324000000004,3.2499999999999996,0.0,25.0,0.0,67.06248,71.0,0
229,-138.158644,-14.324323999999995,3.333333333333333,0.0,24.6,0.0,67.06248,72.0,0
230,-137.22883699999997,-14.324323999999992,3.3953333333333333,0.0,24.5,0.1,69.200704,71.0,0
231,-136.29902899999996,-14.324323999999999,3.1999999999999997,0.0,24.5,0.0,69.00632,70.0,0
232,-135.36922100000004,-14.324324000000011,3.1199999999999997,0.0,24.2,0.0,67.64563199999999,70.0,0
233,-134.439413,-14.324323999999995,3.4,0.0,24.4,0.0,65.701792,70.0,0
234,-133.509605,-14.324323999999995,3.4,0.0,24.1,0.0,66.09056,67.0,0
235,-132.579797,-14.324324000000008,3.3866666666666667,0.0,24.7,0.0,63.563568000000004,69.0,0
236,-131.64998900000003,-14.324323999999999,3.373333333333333,0.0,24.5,0.0,62.397264,69.0,0
237,-130.720181,-14.324323999999999,3.4,0.0,24.2,0.0,62.980416,66.0,0
238,-129.790373,-14.324323999999999,3.4,0.0,24.2,0.0,61.425344,65.0,0
239,-142.95184799999998,-13.423422999999994,3.615333333333333,0.0,25.0,0.1,61.814112,83.0,0
240,-142.025644,-13.423422999999996,3.522,0.0,24.9,0.1,62.591648000000006,83.0,0
241,-141.09944,-13.423422999999989,3.532,0.0,24.7,0.1,64.729872,84.0,0
242,-140.17323600000003,-13.423422999999994,3.612,0.0,24.7,0.1,65.701792,82.0,0
243,-139.24703199999996,-13.423422999999996,3.6406666666666667,0.0,24.5,0.2,67.84001599999999,83.0,0
244,-138.320828,-13.423422999999994,3.6453333333333333,0.0,24.5,0.1,67.84001599999999,84.0,0
245,-137.394625,-13.423422999999996,3.614,0.0,24.6,0.2,67.84001599999999,83.0,0
246,-136.468421,-13.423422999999994,3.5786666666666664,0.0,25.0,0.1,68.423168,80.0,0
247,-135.54221699999997,-13.423422999999994,3.5959999999999996,0.0,24.4,0.3,68.228784,80.0,0
248,-134.61601299999998,-13.423423000000009,3.6126666666666662,0.0,24.5,0.3,66.09056,81.0,0
249,-133.68980899999997,-13.423423000000001,3.5906666666666665,0.0,24.5,0.2,66.47932800000001,80.0,0
250,-132.76360600000004,-13.423423000000009,3.4666666666666663,0.0,24.5,0.0,67.64563199999999,76.0,0
251,-131.837402,-13.423422999999994,3.403333333333333,0.0,24.3,0.0,67.06248,73.0,0
252,-130.911198,-13.423423000000001,3.393333333333333,0.0,24.1,0.0,65.50740800000001,72.0,0
253,-129.984994,-13.423423000000005,3.343333333333333,0.0,24.4,0.0,65.701792,73.0,0
254,-129.05878999999993,-13.423422999999998,3.276666666666667,0.0,24.0,0.0,67.451248,75.0,0
255,-128.132587,-13.423422999999998,3.2199999999999998,0.0,23.7,0.0,61.036576,72.0,0
256,-127.206383,-13.42342299999999,3.333333333333333,0.0,23.5,0.0,58.120816,72.0,0
257,-140.31724199999996,-12.522522999999994,3.5453333333333332,0.0,24.9,0.1,60.842192000000004,78.0,0
258,-139.394387,-12.522522999999994,3.5586666666666664,0.0,24.8,0.1,63.369184000000004,80.0,0
259,-138.471533,-12.522523000000005,3.612,0.0,24.8,0.1,67.451248,82.0,0
260,-137.548678,-12.522523000000001,3.6286666666666667,0.0,24.4,0.1,65.701792,83.0,0
261,-136.625823,-12.522523000000001,3.4939999999999998,0.0,24.5,0.2,67.06248,83.0,0
262,-135.702968,-12.522523000000005,3.61,0.0,24.5,0.0,67.84001599999999,83.0,0
263,-134.780113,-12.522523000000003,3.6406666666666667,0.0,24.3,0.2,67.64563199999999,83.0,0
264,-133.85725799999997,-12.522523000000001,3.5606666666666666,0.0,24.2,0.2,66.28494400000001,83.0,0
265,-132.93440400000003,-12.522523000000005,3.6693333333333333,0.0,24.2,0.3,65.896176,84.0,0
266,-132.01154899999997,-12.522522999999996,3.6206666666666667,0.0,24.0,0.2,65.313024,83.0,0
267,-131.088694,-12.522522999999998,3.564,0.0,24.0,0.2,66.09056,82.0,0
268,-130.165839,-12.522523000000005,3.5773333333333333,0.0,23.8,0.2,65.701792,82.0,0
